* This file was generated by WODC_TO_CSX v1.4 using WODC 80-column formatted data.
* 'na' is used where Instrument Model or Number are not available.

#CONTENT
Class,Category,Level,Form
WOUDC,UmkehrN14,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2011-04-12,JMA,2.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,101,SYOWA,JPN,89532

#INSTRUMENT
Name,Model,Number
Dobson,Beck,119

#LOCATION
Latitude,Longitude,Height
-69,39.58,21

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2009-11-06,

#N14_VALUES
Date,H,W,WLCode,ObsCode,ColumnO3,N_600,N_650,N_700,N_740,N_750,N_770,N_800,N_830,N_840,N_850,N_865,N_880,N_890,N_900
2009-11-06,1,1,0,9,276,-1,-1,317,524,577,681,819,857,845,820,761,676,609,534
2009-11-06,1,3,0,9,276,-1,-1,580,702,739,823,973,143,189,225,253,238,207,166
2009-11-06,1,4,0,9,276,-1,-1,207,267,285,330,416,529,574,622,696,754,778,784
2009-11-06,2,1,0,0,261,956,090,270,469,517,616,766,826,819,802,752,670,604,529
2009-11-06,2,3,0,0,261,393,461,558,668,700,772,910,069,123,169,212,214,189,147
2009-11-06,2,4,0,0,261,111,144,193,250,267,307,379,478,520,568,642,709,740,751
2009-11-07,1,1,0,0,295,043,197,396,578,627,721,832,864,850,825,762,674,605,524
2009-11-07,1,3,0,0,295,437,516,617,728,762,835,966,119,168,208,240,227,196,149
2009-11-07,1,4,0,0,295,132,171,219,276,293,331,404,507,551,599,673,735,760,765
2009-11-07,2,1,0,9,332,135,336,583,793,845,939,021,016,995,962,893,797,725,648
2009-11-07,2,3,0,9,332,482,587,718,859,901,992,150,298,334,355,356,322,279,233
2009-11-07,2,4,0,9,332,153,204,268,343,365,414,509,635,681,730,794,843,851,843
2009-11-11,1,1,0,0,374,277,453,670,872,920,002,052,014,985,949,876,780,711,630
2009-11-11,1,3,0,0,374,556,645,769,910,952,043,191,314,336,347,341,300,261,212
2009-11-11,1,4,0,0,374,185,232,295,366,388,437,533,654,699,741,800,838,845,833
2009-11-12,2,1,0,0,377,321,522,753,952,996,064,110,078,053,014,951,865,794,718
2009-11-12,2,3,0,0,377,580,679,817,965,009,107,254,363,382,390,380,345,309,262
2009-11-12,2,4,0,0,377,200,251,319,397,420,476,579,702,744,786,838,871,876,866
2009-11-14,1,1,0,9,383,331,522,771,971,011,078,107,070,035,993,921,832,766,697
2009-11-14,1,3,0,9,383,582,683,828,980,023,116,254,356,373,382,372,332,297,253
2009-11-14,1,4,0,9,383,204,254,323,404,428,482,582,698,739,781,837,871,875,864
2009-11-15,1,1,0,0,373,314,489,735,931,974,043,085,039,010,976,904,817,760,693
2009-11-15,1,3,0,0,373,574,666,806,954,994,089,236,348,369,377,365,327,288,243
2009-11-15,1,4,0,0,373,200,246,312,390,413,466,567,692,735,780,837,871,874,859
2009-11-15,2,1,0,0,384,339,522,770,977,023,090,119,084,054,013,946,860,791,720
2009-11-15,2,3,0,0,384,586,681,826,982,028,124,270,381,402,404,391,350,312,263
2009-11-15,2,4,0,0,384,206,255,325,404,429,485,596,717,761,804,855,884,885,872
2009-11-16,1,1,0,0,377,341,522,761,948,987,053,089,054,024,985,925,843,789,726
2009-11-16,1,3,0,0,377,586,681,822,969,012,109,254,361,379,385,371,334,296,252
2009-11-16,1,4,0,0,377,202,254,322,401,427,482,586,707,748,791,842,870,871,856
2009-11-16,2,1,0,0,391,380,564,812,005,046,112,139,086,054,007,933,844,774,695
2009-11-16,2,3,0,0,391,607,703,850,001,046,140,276,378,397,400,385,346,304,257
2009-11-16,2,4,0,0,391,215,264,334,415,439,491,593,715,757,802,855,882,883,871
2009-11-17,2,1,0,9,381,-1,-1,-1,-1,-1,082,115,076,045,006,932,846,778,702
2009-11-17,2,3,0,9,381,-1,-1,-1,-1,038,128,272,377,394,400,383,345,306,261
2009-11-17,2,4,0,9,381,-1,-1,-1,-1,435,491,596,714,756,799,852,878,881,871
2009-11-18,1,1,0,0,379,337,532,765,952,994,056,090,049,020,987,919,835,771,703
